category,date,percent,downloads
without_mirrors,2023-06-22,0.51%,1015
without_mirrors,2023-09-09,0.51%,1015
with_mirrors,2023-09-22,0.51%,1007
with_mirrors,2023-10-10,0.51%,1007
without_mirrors,2023-10-10,0.51%,1007
with_mirrors,2023-09-02,0.50%,1005
without_mirrors,2023-09-02,0.50%,1001
without_mirrors,2023-09-22,0.50%,1001
with_mirrors,2023-08-12,0.50%,998
without_mirrors,2023-08-12,0.50%,998
with_mirrors,2023-06-12,0.50%,994
without_mirrors,2023-06-12,0.50%,992
with_mirrors,2023-06-14,0.49%,978
with_mirrors,2023-08-05,0.49%,977
without_mirrors,2023-06-14,0.49%,977
with_mirrors,2023-06-15,0.49%,975
without_mirrors,2023-06-15,0.49%,974
without_mirrors,2023-08-05,0.49%,971
with_mirrors,2023-08-06,0.48%,961
without_mirrors,2023-08-06,0.48%,957
with_mirrors,2023-07-30,0.46%,921
without_mirrors,2023-07-30,0.46%,921
with_mirrors,2023-06-07,0.46%,920
without_mirrors,2023-06-07,0.46%,919
with_mirrors,2023-07-16,0.46%,908
without_mirrors,2023-07-16,0.45%,903
with_mirrors,2023-06-19,0.45%,900
without_mirrors,2023-06-19,0.45%,897
with_mirrors,2023-05-22,0.45%,895
without_mirrors,2023-05-22,0.45%,893
with_mirrors,2023-06-21,0.45%,892
without_mirrors,2023-06-21,0.45%,888
with_mirrors,2023-09-13,0.44%,886
without_mirrors,2023-09-13,0.44%,885
with_mirrors,2023-06-16,0.44%,877
with_mirrors,2023-09-19,0.44%,876
without_mirrors,2023-09-19,0.44%,876
without_mirrors,2023-06-16,0.44%,873
with_mirrors,2023-07-09,0.44%,869
with_mirrors,2023-07-23,0.44%,868
without_mirrors,2023-07-23,0.44%,868
without_mirrors,2023-07-09,0.43%,867
with_mirrors,2023-07-08,0.43%,865
with_mirrors,2023-06-09,0.43%,862
without_mirrors,2023-07-08,0.43%,862
with_mirrors,2023-07-29,0.43%,858
without_mirrors,2023-06-09,0.43%,858
without_mirrors,2023-07-29,0.43%,858
with_mirrors,2023-09-15,0.43%,851
with_mirrors,2023-07-22,0.42%,846
without_mirrors,2023-07-22,0.42%,846
with_mirrors,2023-06-08,0.42%,843
with_mirrors,2023-06-28,0.42%,843
without_mirrors,2023-06-08,0.42%,842
without_mirrors,2023-09-15,0.42%,842
with_mirrors,2023-06-23,0.42%,841
without_mirrors,2023-06-23,0.42%,839
without_mirrors,2023-06-28,0.42%,839
with_mirrors,2023-05-10,0.42%,836
without_mirrors,2023-05-10,0.42%,835
with_mirrors,2023-06-05,0.42%,834
with_mirrors,2023-06-29,0.42%,829
without_mirrors,2023-06-05,0.42%,829
without_mirrors,2023-06-29,0.42%,828
with_mirrors,2023-09-14,0.41%,819
without_mirrors,2023-09-14,0.41%,817
with_mirrors,2023-09-20,0.40%,798
without_mirrors,2023-09-20,0.40%,797
with_mirrors,2023-05-31,0.40%,794
with_mirrors,2023-06-20,0.40%,793
with_mirrors,2023-05-23,0.40%,792
with_mirrors,2023-06-26,0.40%,790
without_mirrors,2023-05-31,0.40%,789
without_mirrors,2023-06-20,0.40%,789
without_mirrors,2023-06-26,0.40%,788
without_mirrors,2023-05-23,0.39%,787
with_mirrors,2023-09-23,0.39%,777
with_mirrors,2023-10-14,0.39%,777
without_mirrors,2023-10-14,0.39%,777
without_mirrors,2023-09-23,0.39%,771
with_mirrors,2023-05-24,0.38%,764
with_mirrors,2023-06-01,0.38%,764
with_mirrors,2023-05-19,0.38%,763
without_mirrors,2023-06-01,0.38%,762
with_mirrors,2023-05-11,0.38%,760
without_mirrors,2023-05-24,0.38%,760
without_mirrors,2023-05-19,0.38%,759
with_mirrors,2023-05-17,0.38%,756
with_mirrors,2023-06-02,0.38%,755
without_mirrors,2023-06-02,0.38%,755
with_mirrors,2023-05-08,0.38%,753
without_mirrors,2023-05-17,0.38%,752
without_mirrors,2023-05-08,0.38%,751
with_mirrors,2023-06-27,0.38%,750
without_mirrors,2023-05-11,0.38%,749
with_mirrors,2023-05-26,0.37%,744
without_mirrors,2023-05-26,0.37%,744
without_mirrors,2023-06-27,0.37%,742
with_mirrors,2023-10-01,0.37%,740
without_mirrors,2023-10-01,0.37%,739
with_mirrors,2023-05-15,0.37%,729
without_mirrors,2023-05-15,0.36%,726
with_mirrors,2023-09-30,0.36%,724
without_mirrors,2023-09-30,0.36%,723
with_mirrors,2023-10-15,0.36%,717
without_mirrors,2023-10-15,0.36%,716
with_mirrors,2023-07-01,0.36%,711
with_mirrors,2023-05-30,0.36%,710
without_mirrors,2023-07-01,0.36%,710
without_mirrors,2023-05-30,0.35%,707
with_mirrors,2023-09-18,0.35%,699
without_mirrors,2023-09-18,0.35%,699
with_mirrors,2023-05-09,0.35%,698
with_mirrors,2023-05-25,0.35%,697
without_mirrors,2023-05-09,0.35%,694
without_mirrors,2023-05-25,0.35%,694
with_mirrors,2023-07-02,0.35%,692
without_mirrors,2023-07-02,0.35%,690
with_mirrors,2023-05-16,0.34%,685
with_mirrors,2023-06-06,0.34%,685
without_mirrors,2023-05-16,0.34%,679
with_mirrors,2023-05-29,0.34%,678
without_mirrors,2023-05-29,0.34%,677
without_mirrors,2023-06-06,0.34%,677
with_mirrors,2023-10-07,0.33%,662
with_mirrors,2023-05-18,0.33%,661
without_mirrors,2023-10-07,0.33%,660
without_mirrors,2023-05-18,0.33%,658
with_mirrors,2023-06-18,0.32%,633
without_mirrors,2023-06-18,0.32%,631
with_mirrors,2023-05-12,0.31%,615
without_mirrors,2023-05-12,0.31%,613
with_mirrors,2023-10-08,0.30%,600
without_mirrors,2023-10-08,0.30%,589
with_mirrors,2023-06-11,0.25%,503
without_mirrors,2023-06-11,0.25%,497
with_mirrors,2023-06-10,0.23%,460
without_mirrors,2023-06-10,0.23%,460
with_mirrors,2023-06-25,0.22%,444
without_mirrors,2023-06-25,0.22%,444
with_mirrors,2023-05-28,0.22%,439
without_mirrors,2023-05-28,0.22%,436
with_mirrors,2023-09-24,0.22%,430
without_mirrors,2023-09-24,0.21%,428
with_mirrors,2023-06-17,0.21%,415
without_mirrors,2023-06-17,0.21%,411
