category,date,percent,downloads
without_mirrors,2023-06-02,0.50%,251938
with_mirrors,2023-06-08,0.50%,251929
without_mirrors,2023-06-08,0.50%,251702
with_mirrors,2023-05-30,0.50%,251415
without_mirrors,2023-07-11,0.50%,251331
without_mirrors,2023-05-30,0.50%,251234
with_mirrors,2023-07-13,0.50%,249788
without_mirrors,2023-07-13,0.49%,246521
with_mirrors,2023-07-06,0.48%,242375
with_mirrors,2023-07-10,0.48%,241382
without_mirrors,2023-07-06,0.47%,238991
without_mirrors,2023-07-10,0.47%,238284
with_mirrors,2023-06-09,0.47%,235331
without_mirrors,2023-06-09,0.47%,235188
with_mirrors,2023-10-01,0.46%,233443
without_mirrors,2023-10-01,0.46%,231262
with_mirrors,2023-05-08,0.46%,230366
without_mirrors,2023-05-08,0.46%,230036
with_mirrors,2023-05-09,0.46%,229508
without_mirrors,2023-05-09,0.46%,229267
with_mirrors,2023-10-07,0.45%,228818
with_mirrors,2023-07-14,0.45%,226329
with_mirrors,2023-09-16,0.45%,225439
with_mirrors,2023-05-25,0.45%,225106
without_mirrors,2023-10-07,0.45%,225025
with_mirrors,2023-07-07,0.45%,225019
without_mirrors,2023-05-25,0.45%,224768
with_mirrors,2023-05-26,0.45%,224311
without_mirrors,2023-05-26,0.44%,223938
without_mirrors,2023-09-16,0.44%,223873
with_mirrors,2023-10-15,0.44%,223380
without_mirrors,2023-07-14,0.44%,223194
with_mirrors,2023-05-23,0.44%,223116
with_mirrors,2023-10-08,0.44%,222981
with_mirrors,2023-07-05,0.44%,222742
without_mirrors,2023-05-23,0.44%,222699
without_mirrors,2023-07-07,0.44%,222138
with_mirrors,2023-09-30,0.44%,221605
without_mirrors,2023-10-15,0.44%,221490
with_mirrors,2023-05-24,0.44%,221207
without_mirrors,2023-10-08,0.44%,220945
without_mirrors,2023-05-24,0.44%,220791
with_mirrors,2023-10-14,0.44%,220604
without_mirrors,2023-07-05,0.44%,219573
with_mirrors,2023-10-29,0.44%,219149
without_mirrors,2023-09-30,0.43%,218717
without_mirrors,2023-10-14,0.43%,218129
without_mirrors,2023-10-29,0.43%,217550
with_mirrors,2023-10-28,0.43%,216937
with_mirrors,2023-09-23,0.43%,214624
without_mirrors,2023-10-28,0.42%,213777
without_mirrors,2023-09-23,0.42%,213069
with_mirrors,2023-09-24,0.41%,207607
with_mirrors,2023-09-17,0.41%,206714
without_mirrors,2023-09-24,0.41%,206607
with_mirrors,2023-09-10,0.41%,206233
without_mirrors,2023-09-17,0.41%,205465
without_mirrors,2023-09-10,0.41%,205038
with_mirrors,2023-07-30,0.41%,204249
without_mirrors,2023-07-30,0.40%,203296
with_mirrors,2023-05-22,0.40%,202662
without_mirrors,2023-05-22,0.40%,202159
with_mirrors,2023-06-30,0.40%,201649
with_mirrors,2023-09-03,0.40%,200549
with_mirrors,2023-07-29,0.40%,199643
without_mirrors,2023-09-03,0.40%,199572
with_mirrors,2023-06-24,0.40%,198886
without_mirrors,2023-06-30,0.40%,198880
without_mirrors,2023-07-29,0.39%,198183
with_mirrors,2023-06-25,0.39%,198030
without_mirrors,2023-06-24,0.39%,197822
without_mirrors,2023-06-25,0.39%,196850
with_mirrors,2023-09-09,0.39%,196276
with_mirrors,2023-05-29,0.39%,195637
