category,date,percent,downloads
without_mirrors,2023-09-03,0.36%,85040
without_mirrors,2023-08-20,0.36%,84538
with_mirrors,2023-08-12,0.35%,83991
without_mirrors,2023-08-26,0.35%,83979
without_mirrors,2023-08-19,0.35%,83436
without_mirrors,2023-08-12,0.34%,81381
with_mirrors,2023-06-14,0.34%,81369
with_mirrors,2023-09-02,0.34%,80980
with_mirrors,2023-08-27,0.34%,79895
without_mirrors,2023-06-14,0.33%,79304
without_mirrors,2023-08-27,0.33%,78794
with_mirrors,2023-06-15,0.33%,78288
without_mirrors,2023-09-02,0.33%,78003
without_mirrors,2023-06-15,0.33%,77151
with_mirrors,2023-07-23,0.33%,77108
without_mirrors,2023-07-23,0.32%,76526
with_mirrors,2023-07-29,0.31%,74442
with_mirrors,2023-07-22,0.31%,73974
without_mirrors,2023-07-22,0.31%,73480
without_mirrors,2023-07-29,0.31%,73120
with_mirrors,2023-06-13,0.31%,73119
without_mirrors,2023-06-13,0.31%,72743
with_mirrors,2023-06-05,0.30%,69981
with_mirrors,2023-06-16,0.29%,69642
with_mirrors,2023-06-08,0.29%,69579
without_mirrors,2023-06-08,0.29%,69207
without_mirrors,2023-06-05,0.29%,69183
without_mirrors,2023-06-16,0.29%,68807
with_mirrors,2023-06-07,0.28%,67510
without_mirrors,2023-06-07,0.28%,66559
with_mirrors,2023-06-06,0.28%,66019
with_mirrors,2023-05-23,0.28%,65451
without_mirrors,2023-06-06,0.27%,65128
without_mirrors,2023-05-23,0.27%,64964
with_mirrors,2023-06-12,0.27%,64632
with_mirrors,2023-05-31,0.27%,63742
with_mirrors,2023-07-16,0.27%,63364
with_mirrors,2023-06-01,0.27%,63095
without_mirrors,2023-06-12,0.27%,63085
without_mirrors,2023-05-31,0.27%,62905
without_mirrors,2023-07-16,0.27%,62889
without_mirrors,2023-06-01,0.26%,62644
with_mirrors,2023-06-09,0.26%,61877
without_mirrors,2023-06-09,0.26%,61518
with_mirrors,2023-07-15,0.26%,61466
without_mirrors,2023-07-15,0.26%,61100
with_mirrors,2023-05-24,0.26%,61077
