category,date,percent,downloads
without_mirrors,2023-06-30,0.46%,14378
without_mirrors,2023-06-21,0.46%,14306
with_mirrors,2023-06-15,0.45%,14054
with_mirrors,2023-10-08,0.45%,14028
without_mirrors,2023-10-08,0.44%,13879
without_mirrors,2023-06-14,0.44%,13865
with_mirrors,2023-09-23,0.44%,13849
without_mirrors,2023-09-23,0.44%,13619
with_mirrors,2023-09-30,0.43%,13517
without_mirrors,2023-06-15,0.43%,13506
with_mirrors,2023-06-26,0.43%,13475
with_mirrors,2023-10-01,0.43%,13460
with_mirrors,2023-07-03,0.43%,13452
without_mirrors,2023-09-30,0.43%,13435
with_mirrors,2023-06-16,0.43%,13408
with_mirrors,2023-07-04,0.43%,13353
without_mirrors,2023-06-26,0.43%,13342
without_mirrors,2023-10-01,0.43%,13341
without_mirrors,2023-07-03,0.43%,13336
with_mirrors,2023-06-29,0.42%,13256
with_mirrors,2023-06-20,0.42%,13139
without_mirrors,2023-07-04,0.41%,12970
without_mirrors,2023-06-29,0.41%,12906
without_mirrors,2023-06-16,0.41%,12867
with_mirrors,2023-09-24,0.41%,12673
with_mirrors,2023-06-13,0.41%,12672
without_mirrors,2023-06-20,0.40%,12656
with_mirrors,2023-06-28,0.40%,12413
without_mirrors,2023-06-13,0.39%,12226
without_mirrors,2023-06-28,0.39%,12085
with_mirrors,2023-06-19,0.37%,11644
with_mirrors,2023-06-06,0.37%,11628
with_mirrors,2023-06-08,0.37%,11490
with_mirrors,2023-05-31,0.37%,11471
without_mirrors,2023-06-08,0.36%,11381
without_mirrors,2023-06-06,0.36%,11249
with_mirrors,2023-05-24,0.36%,11232
without_mirrors,2023-06-19,0.36%,11228
with_mirrors,2023-05-23,0.36%,11175
without_mirrors,2023-05-31,0.36%,11170
without_mirrors,2023-05-23,0.36%,11133
with_mirrors,2023-06-12,0.35%,11048
without_mirrors,2023-05-24,0.35%,10990
with_mirrors,2023-06-07,0.35%,10972
without_mirrors,2023-09-24,0.35%,10932
with_mirrors,2023-06-22,0.34%,10762
without_mirrors,2023-06-07,0.34%,10734
